player_id,season,oz_starts,dz_starts
8476960,20242025,0.2143,0.3429
8476960,20252026,,
8476967,20232024,0.3169,0.314
8476967,20242025,0.3512,0.3106
8476967,20252026,0.3213,0.3194
8476979,20232024,0.3854,0.2745
8476979,20242025,0.3888,0.2869
8476979,20252026,0.4545,0.2424
8476981,20232024,0.264,0.3844
8476981,20242025,0.2383,0.3377
8476981,20252026,0.2183,0.3909
8476988,20232024,0.3444,0.3889
8476988,20242025,0.3294,0.2588
8476988,20252026,0.1,0.4
8476994,20232024,0.1481,0.4074
8476994,20242025,0.3234,0.3308
8476994,20252026,0.2539,0.3876
8477015,20232024,0.2703,0.348
8477015,20242025,0.2647,0.3617
8477015,20252026,0.347,0.3047
8477018,20232024,0.4082,0.2454
8477018,20242025,0.3577,0.3089
8477018,20252026,0.4255,0.2379
8477021,20232024,0.316,0.3608
8477021,20242025,0.313,0.328
8477021,20252026,0.271,0.3832
8477034,20232024,0.2907,0.3469
8477034,20242025,0.2805,0.3049
8477034,20252026,0.2308,0.4231
8477070,20232024,0.2904,0.3564
8477070,20242025,0.3059,0.3451
8477070,20252026,0.2997,0.3192
8477073,20232024,0.2295,0.3333
8477073,20242025,0.3495,0.2621
8477073,20252026,0.3816,0.1579
8477220,20232024,0.3252,0.291
8477220,20242025,0.3745,0.2664
8477220,20252026,0.3379,0.3062
8477244,20232024,0.1788,0.4824
8477244,20242025,0.2766,0.3404
8477244,20252026,,
8477330,20232024,0.3365,0.3077
8477330,20242025,,
8477330,20252026,,
8477335,20232024,0.2693,0.3991
8477335,20242025,0.3636,0.3062
8477335,20252026,,
8477346,20232024,0.3582,0.3036
8477346,20242025,0.3488,0.3404
8477346,20252026,0.3443,0.3046
8477353,20232024,0.2276,0.3351
8477353,20242025,0.2988,0.2988
8477353,20252026,,
8477365,20232024,0.3063,0.3354
8477365,20242025,0.2187,0.396
8477365,20252026,0.2092,0.3511
8477369,20232024,0.2438,0.3743
8477369,20242025,0.2805,0.3888
8477369,20252026,0.3084,0.322
8477380,20232024,0.3132,0.3444
8477380,20242025,0.2439,0.377
8477380,20252026,0.2901,0.356
8477384,20232024,0.2966,0.3881
