,rapm,name,pos,events_onice
8476892,-0.3406338900200186,Colton Parayko,D,706
8476897,0.05990228791126549,Oskar Sundqvist,C,365
8476902,-0.2928057574515715,Esa Lindell,D,792
8476905,0.1691219499966223,Chandler Stephenson,C,743
8476906,0.1779684772504599,Shayne Gostisbehere,D,652
8476913,-0.043618910177882934,Devin Shore,C,58
8476917,-0.22410331158095032,Adam Pelech,D,598
8476918,0.11324415013225346,Jimmy Vesey,L,121
8476921,-0.008555961405116622,Jordan Martinook,L,538
8476923,-0.03392619289932693,Damon Severson,D,459
8476925,-0.061631176424387465,Colton Sissons,C,624
8476927,-0.14224653557572128,Teddy Blueger,C,565
8476931,-0.18164173277433687,Jake McCabe,D,774
8476934,0.028514428691693405,Brock McGinn,L,57
8476958,-0.16284843109885888,Jaccob Slavin,D,608
8476967,-0.08245136348172526,Brett Kulak,D,469
8476979,-0.0007613238766460625,Erik Gustafsson,D,238
8476981,0.03850861446592588,Josh Anderson,R,568
8476994,0.10787565287559911,Vinnie Hinostroza,C,134
8477015,0.07341862215815755,Connor Brown,R,356
8477018,-0.08214372490263144,Ben Hutton,D,175
8477021,-0.1391323501840301,Alexander Kerfoot,C,666
8477034,-0.10053803937646161,Jaycob Megna,D,88
8477070,0.11203676916710326,Liam O'Brien,C,159
8477073,0.04012110677930372,Kurtis MacDermid,L,84
8477220,-0.05837404728884739,Nate Schmidt,D,467
8477244,-0.048736916273665276,Chad Ruhwedel,D,76
8477330,0.1340703931357015,Dominik Kubalik,L,108
8477335,-0.03737091813379669,Kyle Burroughs,D,212
8477346,-0.046844568467338574,MacKenzie Weegar,D,806
8477353,-0.09755719338362451,Tyler Motte,C,274
8477365,-0.2352534098427474,Connor Clifton,D,549
8477369,-0.1882001755344911,Carson Soucy,D,414
8477380,0.11236941663455745,Jonny Brodzinski,C,187
8477384,-0.20688828776683063,Joshua Brown,D,132
8477392,0.10848968355339093,Hudson Fasching,R,92
8477402,0.014828399384657544,Pavel Buchnevich,L,815
8477404,0.22729077156568558,Jake Guentzel,C,804
8477406,-0.0002024031728479446,Mattias Janmark,C,249
8477407,0.11744875239930484,Anthony Duclair,L,312
8477409,0.16395619302748046,Carter Verhaeghe,C,779
8477416,0.1645585874819309,Oliver Bjorkstrand,R,559
8477425,0.09025709433138994,Miles Wood,L,241
8477426,0.08437688320883471,Nick Paul,L,530
8477429,-0.08741970873397442,Andrew Copp,C,544
8477435,-0.10439328242011986,Ryan Graves,D,250
8477444,0.13439124057300583,Andre Burakovsky,L,408
8477446,-0.008954886807353703,Michael McCarron,C,470
8477447,0.0028564336088783486,Shea Theodore,D,516
8477450,-0.08415496441977525,Jason Dickinson,C,539
8477451,0.025827171612630862,Ryan Hartman,R,427
8477454,0.07318671553193151,Adam Erne,L,73
8477456,-0.11458178492565588,J.T. Compher,L,706
8477473,0.054277914797588464,Justin Bailey,R,66
